                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3607,                 1.4873,                 1.7124,                0.69264,                0.58695,                0.67929,                0.48032,                 1.2622,                 1.7949,                 1.7319,               0.006733,               0.006733,               0.006733
                     36,                  1.345,                 1.4543,                 1.7094,                0.67293,                0.61595,                0.68024,                0.48327,                 1.2591,                 1.7839,                 1.7298,               0.006634,               0.006634,               0.006634
                     37,                 1.3302,                 1.4308,                  1.687,                0.69745,                0.60651,                0.68168,                 0.4856,                 1.2574,                 1.7742,                 1.7269,               0.006535,               0.006535,               0.006535
                     38,                 1.3466,                 1.4366,                 1.7002,                0.65008,                0.63839,                0.68521,                0.48631,                  1.255,                 1.7643,                 1.7241,               0.006436,               0.006436,               0.006436
                     39,                 1.3371,                 1.4219,                 1.6977,                0.65203,                0.64388,                0.68764,                0.48806,                  1.256,                 1.7533,                 1.7239,               0.006337,               0.006337,               0.006337
                     40,                 1.3259,                 1.3921,                 1.6879,                0.65395,                0.66434,                0.68783,                 0.4891,                 1.2539,                  1.746,                 1.7222,               0.006238,               0.006238,               0.006238
                     41,                 1.3125,                 1.3586,                 1.6656,                0.64453,                0.66923,                0.68812,                0.49022,                 1.2508,                 1.7449,                 1.7194,               0.006139,               0.006139,               0.006139
                     42,                 1.3256,                 1.3812,                 1.6835,                0.63784,                0.66517,                0.69061,                0.49248,                 1.2492,                 1.7392,                 1.7188,                0.00604,                0.00604,                0.00604
                     43,                 1.3151,                 1.3797,                 1.6745,                0.65855,                0.65912,                0.69199,                0.49433,                 1.2474,                 1.7293,                 1.7164,               0.005941,               0.005941,               0.005941
                     44,                 1.3004,                 1.3449,                 1.6661,                0.65263,                0.65914,                0.69131,                0.49434,                 1.2462,                 1.7153,                 1.7151,               0.005842,               0.005842,               0.005842
                     45,                 1.2979,                 1.3245,                 1.6633,                0.66143,                0.65312,                0.69246,                0.49505,                 1.2442,                  1.704,                 1.7132,               0.005743,               0.005743,               0.005743
                     46,                 1.2915,                 1.3053,                 1.6508,                0.66762,                0.65329,                0.69375,                0.49658,                 1.2435,                 1.6925,                  1.711,               0.005644,               0.005644,               0.005644
                     47,                 1.2958,                 1.3236,                 1.6573,                0.66645,                0.65973,                0.69484,                0.49913,                 1.2424,                 1.6758,                 1.7083,               0.005545,               0.005545,               0.005545
                     48,                 1.2737,                 1.2801,                 1.6378,                0.66282,                0.66384,                0.69675,                0.50082,                 1.2385,                 1.6678,                 1.7049,               0.005446,               0.005446,               0.005446
                     49,                 1.2719,                 1.2837,                 1.6341,                0.67766,                  0.664,                0.69742,                  0.501,                  1.238,                 1.6593,                 1.7055,               0.005347,               0.005347,               0.005347
                     50,                 1.2751,                 1.2633,                  1.635,                0.69615,                0.65523,                0.69956,                0.50306,                 1.2379,                  1.656,                 1.7047,               0.005248,               0.005248,               0.005248
                     51,                 1.2564,                 1.2579,                 1.6295,                0.70189,                0.65424,                0.70097,                0.50262,                 1.2393,                 1.6503,                 1.7065,               0.005149,               0.005149,               0.005149
                     52,                 1.2538,                   1.24,                 1.6201,                0.70166,                0.65159,                0.70126,                0.50397,                 1.2392,                 1.6468,                 1.7073,                0.00505,                0.00505,                0.00505
                     53,                  1.252,                 1.2451,                 1.6179,                0.69486,                0.65381,                0.70203,                0.50326,                 1.2405,                 1.6406,                 1.7085,               0.004951,               0.004951,               0.004951
                     54,                 1.2471,                   1.23,                 1.6115,                0.69991,                0.65238,                0.70356,                 0.5068,                  1.239,                 1.6351,                 1.7082,               0.004852,               0.004852,               0.004852
                     55,                 1.2389,                 1.2182,                 1.6022,                 0.6905,                0.65456,                0.70425,                0.50869,                 1.2389,                 1.6295,                 1.7082,               0.004753,               0.004753,               0.004753
                     56,                 1.2387,                 1.2078,                 1.6054,                0.67505,                0.67538,                0.70382,                0.50808,                 1.2386,                 1.6254,                 1.7077,               0.004654,               0.004654,               0.004654
                     57,                 1.2243,                 1.2016,                  1.592,                0.67406,                0.67914,                0.70531,                0.50978,                 1.2384,                 1.6263,                 1.7076,               0.004555,               0.004555,               0.004555
                     58,                 1.2213,                 1.1778,                 1.5883,                0.67846,                0.67098,                0.70639,                0.50773,                 1.2381,                 1.6267,                 1.7066,               0.004456,               0.004456,               0.004456
                     59,                 1.2091,                 1.1577,                  1.578,                0.66569,                0.67906,                0.70807,                0.50869,                  1.237,                 1.6292,                 1.7061,               0.004357,               0.004357,               0.004357
                     60,                 1.1973,                 1.1582,                 1.5679,                0.65734,                0.69219,                0.70877,                0.50795,                  1.238,                 1.6278,                 1.7072,               0.004258,               0.004258,               0.004258
                     61,                 1.2024,                 1.1361,                 1.5713,                 0.6663,                0.67194,                0.70942,                 0.5084,                 1.2408,                 1.6296,                 1.7092,               0.004159,               0.004159,               0.004159
                     62,                 1.1949,                 1.1276,                 1.5706,                 0.6481,                0.69393,                0.70994,                0.50863,                 1.2419,                 1.6346,                 1.7102,                0.00406,                0.00406,                0.00406
                     63,                 1.1938,                 1.1247,                   1.56,                0.70994,                0.64528,                0.70969,                  0.507,                 1.2424,                 1.6293,                  1.712,               0.003961,               0.003961,               0.003961
                     64,                 1.1833,                 1.1185,                 1.5546,                0.72647,                 0.6374,                0.70914,                0.50676,                  1.244,                 1.6309,                  1.713,               0.003862,               0.003862,               0.003862
                     65,                  1.178,                 1.1007,                  1.553,                0.72368,                 0.6443,                0.70879,                0.50506,                 1.2455,                 1.6286,                 1.7148,               0.003763,               0.003763,               0.003763
                     66,                 1.1662,                  1.078,                 1.5376,                 0.7245,                0.64421,                0.70984,                0.50919,                 1.2444,                 1.6279,                 1.7153,               0.003664,               0.003664,               0.003664
                     67,                 1.1682,                 1.0943,                 1.5389,                0.72081,                0.64622,                0.70922,                0.50849,                 1.2457,                 1.6328,                  1.718,               0.003565,               0.003565,               0.003565
                     68,                 1.1498,                 1.0681,                 1.5239,                0.73232,                 0.6363,                0.71049,                0.50996,                 1.2409,                 1.6315,                 1.7143,               0.003466,               0.003466,               0.003466
                     69,                  1.145,                 1.0486,                 1.5204,                0.75254,                0.62293,                   0.71,                0.50952,                 1.2422,                 1.6331,                  1.717,               0.003367,               0.003367,               0.003367
                     70,                 1.1387,                 1.0425,                 1.5194,                0.75531,                0.61832,                 0.7094,                0.50767,                 1.2423,                 1.6382,                 1.7171,               0.003268,               0.003268,               0.003268
                     71,                 1.1205,                 1.0188,                 1.5008,                0.75241,                0.62053,                0.70988,                0.50863,                 1.2449,                 1.6441,                 1.7203,               0.003169,               0.003169,               0.003169
                     72,                 1.1218,                 1.0202,                 1.4937,                0.74667,                0.61959,                0.71088,                0.51039,                 1.2461,                 1.6438,                 1.7215,                0.00307,                0.00307,                0.00307
                     73,                 1.1197,                 1.0131,                 1.4985,                0.74107,                0.62852,                0.71123,                0.51091,                 1.2463,                 1.6471,                 1.7218,               0.002971,               0.002971,               0.002971
                     74,                 1.1097,                0.97368,                 1.4831,                0.71897,                0.63641,                0.71178,                0.51172,                 1.2462,                 1.6484,                 1.7221,               0.002872,               0.002872,               0.002872
                     75,                 1.0982,                0.98861,                 1.4811,                0.71574,                0.64372,                0.71086,                0.51276,                 1.2472,                 1.6522,                 1.7229,               0.002773,               0.002773,               0.002773
                     76,                 1.0946,                0.97799,                 1.4748,                0.69436,                0.65828,                0.71065,                0.51281,                 1.2479,                 1.6588,                 1.7244,               0.002674,               0.002674,               0.002674
                     77,                 1.0733,                0.96355,                 1.4583,                0.69806,                0.65786,                0.71023,                0.51099,                 1.2486,                 1.6641,                 1.7249,               0.002575,               0.002575,               0.002575
                     78,                 1.0645,                0.93706,                 1.4489,                0.68699,                0.66796,                0.70947,                 0.5099,                 1.2517,                 1.6705,                 1.7283,               0.002476,               0.002476,               0.002476
                     79,                 1.0673,                0.94023,                 1.4414,                0.70095,                0.67559,                 0.7175,                0.50966,                 1.2555,                 1.6671,                 1.7319,               0.002377,               0.002377,               0.002377
                     80,                 1.0572,                0.93788,                 1.4444,                0.69155,                0.67141,                 0.7096,                0.50964,                 1.2562,                 1.6664,                 1.7337,               0.002278,               0.002278,               0.002278
                     81,                 1.0415,                0.89409,                 1.4272,                0.69189,                0.66906,                0.71428,                 0.5087,                 1.2562,                 1.6716,                 1.7346,               0.002179,               0.002179,               0.002179
