2,-0.1897,0.6802,0.1972,-0.0517,0.8069,0.0014,0.2181,0.9179,-0.0839,0.2632,0.5463,-0.248,0.2316,0.846,-0.2256,-0.0411
3,-0.1882,0.6786,0.1963,-0.0522,0.8118,0.0029,0.2212,0.916,-0.0831,0.2606,0.5421,-0.2496,0.2312,0.8455,-0.2278,-0.0428
4,-0.1881,0.6772,0.1979,-0.0514,0.8111,0.003,0.2184,0.9196,-0.0821,0.264,0.5408,-0.2468,0.2311,0.8442,-0.2263,-0.0443
5,-0.1876,0.6758,0.1962,-0.0525,0.8109,0.0059,0.2207,0.9195,-0.0858,0.2624,0.5393,-0.2457,0.2315,0.8449,-0.2277,-0.0461
6,-0.187,0.6754,0.1949,-0.0514,0.8127,0.0061,0.2235,0.9197,-0.0838,0.2604,0.5394,-0.2469,0.2335,0.8439,-0.227,-0.0461
7,-0.1867,0.675,0.1957,-0.0512,0.8097,0.0057,0.2247,0.9215,-0.0843,0.2642,0.5383,-0.2465,0.234,0.8445,-0.2271,-0.0466
8,-0.1877,0.6756,0.1932,-0.0508,0.8082,0.0053,0.224,0.9232,-0.0838,0.2649,0.537,-0.2507,0.2354,0.8446,-0.2259,-0.0466
9,-0.1976,0.6735,0.1894,-0.053,0.8046,0.0042,0.2235,0.9243,-0.0897,0.2681,0.5354,-0.2555,0.2369,0.8456,-0.2257,-0.0465
10,-0.1895,0.6742,0.1945,-0.0522,0.8063,0.0067,0.2221,0.9245,-0.087,0.268,0.5355,-0.2514,0.2376,0.8451,-0.2261,-0.0463
11,-0.1879,0.6736,0.1941,-0.0505,0.8029,0.0094,0.2216,0.928,-0.0865,0.2714,0.534,-0.25,0.2386,0.8442,-0.2255,-0.0472
12,-0.1853,0.6726,0.1955,-0.05,0.8035,0.0115,0.2232,0.9285,-0.086,0.2705,0.5344,-0.2496,0.2394,0.8441,-0.2254,-0.0473
13,-0.1852,0.6725,0.1958,-0.0498,0.8024,0.0119,0.2213,0.9265,-0.0847,0.2716,0.5335,-0.2473,0.2406,0.8448,-0.2288,-0.0473
14,-0.1841,0.672,0.1962,-0.05,0.8033,0.0094,0.2238,0.9259,-0.0837,0.2722,0.533,-0.2466,0.2416,0.8445,-0.2271,-0.0479
15,-0.1846,0.6705,0.1952,-0.0484,0.8046,0.011,0.2206,0.9269,-0.0837,0.2732,0.5314,-0.2461,0.241,0.8439,-0.2269,-0.0486
16,-0.1818,0.6697,0.1931,-0.0498,0.8053,0.0114,0.2194,0.9277,-0.0853,0.2754,0.5295,-0.2466,0.2416,0.8432,-0.2268,-0.0488
17,-0.1834,0.6699,0.1926,-0.0489,0.8025,0.0116,0.2222,0.9293,-0.0862,0.2756,0.529,-0.2447,0.2422,0.8432,-0.2278,-0.0495
18,-0.182,0.669,0.1926,-0.0477,0.8012,0.0138,0.221,0.9294,-0.0855,0.2743,0.5278,-0.2461,0.2416,0.8426,-0.2271,-0.0512
19,-0.18,0.6688,0.1926,-0.0487,0.8032,0.0157,0.2223,0.9281,-0.0855,0.2731,0.5273,-0.2459,0.2433,0.8438,-0.2263,-0.0506
20,-0.1825,0.6673,0.1936,-0.0479,0.8027,0.0144,0.2199,0.9284,-0.0859,0.2749,0.5257,-0.2448,0.2431,0.843,-0.2271,-0.0515
21,-0.1812,0.6669,0.1954,-0.0471,0.804,0.0169,0.2241,0.9284,-0.085,0.2747,0.5253,-0.2437,0.2429,0.8426,-0.2271,-0.0534
