                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4425,                 1.3978,                 1.3231,                0.77282,                0.75453,                 0.8031,                0.49937,                 1.4784,                 1.1226,                 1.3613,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.4576,                   1.42,                 1.3256,                0.82983,                0.71734,                 0.8046,                0.50019,                 1.4946,                  1.129,                 1.3691,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.4418,                 1.4004,                 1.3157,                0.82978,                0.73905,                0.81371,                0.51021,                 1.4839,                 1.1032,                 1.3687,              0.0056688,              0.0056688,              0.0056688
                     38,                 1.4258,                 1.3723,                  1.308,                0.80148,                0.71666,                0.80048,                0.50627,                 1.4816,                 1.1085,                 1.3667,               0.005545,               0.005545,               0.005545
                     39,                 1.4315,                 1.3575,                  1.306,                0.77377,                 0.7654,                0.80977,                0.52389,                 1.4325,                 1.0738,                 1.3433,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.4124,                 1.3361,                 1.3033,                0.83161,                0.73283,                0.81857,                0.53489,                 1.4131,                 1.0513,                 1.3331,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.4075,                 1.3108,                 1.2911,                  0.824,                0.73193,                0.81669,                0.53044,                 1.4326,                 1.0588,                 1.3446,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.3825,                 1.2782,                   1.28,                0.80755,                 0.7331,                0.81194,                0.52602,                 1.4584,                 1.0696,                 1.3594,                0.00505,                0.00505,                0.00505
                     43,                 1.3959,                 1.3181,                 1.2839,                0.80425,                0.76045,                0.81561,                 0.5257,                 1.4669,                 1.0645,                 1.3621,              0.0049263,              0.0049263,              0.0049263
                     44,                 1.3987,                 1.2912,                 1.2917,                0.81235,                0.73994,                0.82248,                0.53422,                 1.4445,                 1.0465,                 1.3486,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.3862,                 1.2587,                 1.2871,                0.80353,                0.76001,                0.83151,                0.54285,                 1.4285,                 1.0285,                 1.3394,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.3731,                 1.2405,                  1.282,                 0.7825,                0.78568,                0.83297,                0.54474,                 1.4184,                 1.0136,                 1.3321,               0.004555,               0.004555,               0.004555
                     47,                  1.372,                 1.2308,                 1.2764,                0.78897,                0.78215,                0.83309,                0.54424,                 1.4231,                  1.011,                  1.336,              0.0044313,              0.0044313,              0.0044313
                     48,                 1.3574,                 1.2055,                 1.2598,                0.79477,                0.76909,                0.83319,                0.54445,                 1.4135,                  1.008,                 1.3325,              0.0043075,              0.0043075,              0.0043075
                     49,                 1.3578,                 1.2021,                 1.2651,                0.80856,                0.77445,                0.83403,                0.55101,                 1.4027,                0.99765,                 1.3284,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.3418,                 1.1634,                 1.2534,                0.80758,                0.77848,                0.83348,                0.54965,                 1.4043,                0.99362,                 1.3288,                0.00406,                0.00406,                0.00406
                     51,                 1.3558,                 1.1622,                 1.2638,                0.81729,                0.78192,                0.83321,                0.54809,                 1.4036,                0.99298,                 1.3302,              0.0039362,              0.0039362,              0.0039362
                     52,                 1.3279,                 1.1669,                 1.2448,                  0.823,                0.78032,                0.83418,                 0.5484,                 1.4028,                0.98936,                 1.3304,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.3253,                 1.1331,                 1.2529,                0.81602,                0.78403,                0.83547,                0.54914,                 1.3985,                0.98818,                 1.3297,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.3142,                 1.1396,                 1.2474,                0.81666,                0.77691,                0.83911,                0.55185,                 1.3982,                0.98376,                 1.3301,               0.003565,               0.003565,               0.003565
                     55,                 1.3023,                  1.129,                 1.2426,                0.81182,                0.77732,                0.83765,                 0.5521,                  1.398,                0.98097,                 1.3307,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.2987,                 1.0985,                  1.241,                0.80617,                0.77997,                0.84019,                0.55144,                 1.4001,                 0.9797,                  1.333,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.2987,                 1.1071,                 1.2363,                0.80737,                0.77795,                0.84124,                0.55234,                 1.4048,                0.97981,                 1.3357,              0.0031938,              0.0031938,              0.0031938
                     58,                 1.2841,                 1.0815,                 1.2294,                0.80455,                0.78095,                 0.8405,                0.55408,                 1.4072,                0.97774,                 1.3371,                0.00307,                0.00307,                0.00307
                     59,                 1.2807,                 1.0787,                 1.2199,                0.83783,                0.76733,                0.84071,                0.55567,                 1.4099,                0.97779,                 1.3384,              0.0029462,              0.0029462,              0.0029462
                     60,                 1.2832,                 1.0513,                 1.2309,                 0.8328,                0.76896,                 0.8407,                0.55463,                 1.4105,                0.97516,                 1.3387,              0.0028225,              0.0028225,              0.0028225
                     61,                  1.275,                 1.0524,                 1.2166,                0.82308,                 0.7724,                0.84182,                0.55554,                 1.4097,                 0.9737,                 1.3379,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.2498,                  1.025,                 1.2073,                0.82638,                0.77518,                0.84332,                0.55524,                 1.4108,                0.97209,                 1.3382,               0.002575,               0.002575,               0.002575
                     63,                 1.2489,                 1.0232,                 1.2094,                0.81773,                0.77642,                 0.8435,                0.55479,                 1.4112,                0.96974,                 1.3388,              0.0024513,              0.0024513,              0.0024513
                     64,                 1.2321,                 1.0122,                 1.1983,                0.80821,                0.78487,                0.84376,                0.55469,                 1.4116,                0.96793,                 1.3392,              0.0023275,              0.0023275,              0.0023275
                     65,                  1.234,                0.99768,                 1.2025,                0.80555,                0.78809,                0.84402,                0.55504,                 1.4127,                0.96838,                 1.3398,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.2207,                0.97894,                 1.1942,                0.80796,                 0.7883,                0.84425,                0.55561,                 1.4133,                 0.9677,                 1.3408,                0.00208,                0.00208,                0.00208
                     67,                 1.2143,                0.94814,                  1.191,                0.80749,                0.78907,                0.84459,                0.55475,                 1.4148,                0.96769,                 1.3422,              0.0019563,              0.0019563,              0.0019563
                     68,                 1.2159,                0.96097,                 1.1816,                0.80809,                0.78797,                0.84476,                0.55511,                 1.4156,                0.96734,                 1.3436,              0.0018325,              0.0018325,              0.0018325
                     69,                 1.1873,                0.92992,                 1.1779,                0.81018,                0.78676,                0.84479,                0.55412,                 1.4163,                0.96735,                 1.3453,              0.0017087,              0.0017087,              0.0017087
                     70,                  1.203,                0.93807,                 1.1821,                0.81516,                0.78824,                0.84937,                0.55536,                  1.416,                0.96781,                 1.3454,               0.001585,               0.001585,               0.001585
                     71,                 1.1754,                0.90976,                 1.1729,                0.81796,                0.78807,                0.85023,                0.55623,                 1.4157,                0.96824,                 1.3457,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.1668,                0.89175,                 1.1734,                0.81867,                0.78548,                0.85032,                0.55617,                 1.4162,                0.96901,                 1.3469,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.1099,                0.71063,                 1.1442,                0.81902,                0.77935,                0.85081,                0.55547,                 1.4165,                 0.9687,                 1.3474,              0.0012138,              0.0012138,              0.0012138
                     74,                 1.0826,                0.69951,                 1.1276,                0.82867,                0.77741,                0.85085,                0.55465,                  1.417,                0.96881,                 1.3475,                0.00109,                0.00109,                0.00109
                     75,                 1.0703,                 0.6848,                 1.1286,                0.82976,                0.78068,                0.85155,                0.55563,                 1.4156,                0.96975,                  1.347,             0.00096625,             0.00096625,             0.00096625
                     76,                  1.062,                0.65831,                 1.1187,                0.83131,                0.78357,                0.85236,                0.55639,                 1.4152,                0.96986,                 1.3472,              0.0008425,              0.0008425,              0.0008425
                     77,                 1.0629,                 0.6527,                   1.11,                0.82926,                0.78445,                0.85196,                0.55665,                 1.4154,                0.97043,                 1.3477,             0.00071875,             0.00071875,             0.00071875
                     78,                 1.0481,                0.64015,                 1.1096,                 0.8343,                0.78736,                0.85254,                0.55864,                 1.4169,                0.97167,                 1.3513,               0.000595,               0.000595,               0.000595
                     79,                 1.0429,                0.63982,                 1.1119,                0.83427,                0.78725,                0.85268,                0.55829,                 1.4168,                0.97287,                 1.3523,             0.00047125,             0.00047125,             0.00047125
                     80,                 1.0302,                0.63134,                 1.1006,                0.83476,                0.78542,                0.85284,                 0.5587,                 1.4168,                0.97219,                 1.3526,              0.0003475,              0.0003475,              0.0003475
