                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1137,                0.93247,                 1.2058,                0.79968,                0.69491,                0.78053,                0.53987,                0.98802,                 1.4456,                 1.1298,               0.004555,               0.004555,               0.004555
                     36,                 1.1009,                0.91333,                 1.1977,                0.79775,                0.69538,                0.78155,                0.53917,                0.98847,                 1.4262,                 1.1296,                0.00439,                0.00439,                0.00439
                     37,                 1.0837,                0.89149,                 1.1869,                0.77795,                 0.6967,                 0.7781,                0.53965,                0.98873,                 1.4113,                 1.1291,               0.004225,               0.004225,               0.004225
                     38,                 1.0704,                0.86207,                 1.1797,                0.77802,                0.71094,                0.77905,                0.54259,                0.99006,                  1.402,                 1.1297,                0.00406,                0.00406,                0.00406
                     39,                  1.062,                0.86066,                 1.1734,                 0.7842,                0.70346,                0.77906,                0.54581,                0.98767,                 1.3918,                 1.1293,               0.003895,               0.003895,               0.003895
                     40,                   1.05,                0.84027,                 1.1717,                0.78373,                0.70538,                0.77882,                0.54783,                0.98821,                 1.3829,                 1.1309,                0.00373,                0.00373,                0.00373
                     41,                 1.0405,                0.82929,                 1.1619,                0.79779,                0.69475,                0.77729,                0.54621,                0.98902,                 1.3755,                 1.1317,               0.003565,               0.003565,               0.003565
                     42,                 1.0291,                0.81973,                 1.1555,                0.79641,                0.69147,                0.77886,                 0.5457,                0.99184,                 1.3703,                  1.136,                 0.0034,                 0.0034,                 0.0034
                     43,                  1.015,                0.79695,                 1.1493,                0.78734,                0.69777,                0.78078,                0.54692,                0.99144,                 1.3632,                 1.1362,               0.003235,               0.003235,               0.003235
                     44,                0.99911,                0.78106,                  1.139,                0.78116,                0.71087,                 0.7807,                0.55042,                 0.9936,                  1.362,                 1.1387,                0.00307,                0.00307,                0.00307
                     45,                0.98993,                0.76988,                  1.136,                0.78542,                0.69411,                0.77984,                0.54831,                0.99612,                 1.3614,                 1.1405,               0.002905,               0.002905,               0.002905
                     46,                0.97384,                0.75196,                 1.1258,                0.79821,                0.68887,                0.77987,                0.54647,                0.99916,                 1.3578,                 1.1458,                0.00274,                0.00274,                0.00274
                     47,                0.96314,                0.73753,                 1.1185,                0.79931,                0.69135,                 0.7797,                 0.5496,                 1.0021,                 1.3566,                 1.1492,               0.002575,               0.002575,               0.002575
                     48,                0.94317,                0.70993,                 1.1056,                0.79985,                0.68412,                0.78031,                0.54946,                 1.0051,                 1.3513,                 1.1529,                0.00241,                0.00241,                0.00241
                     49,                0.92586,                 0.7051,                  1.099,                0.80574,                0.69325,                0.78424,                0.55273,                 1.0074,                 1.3502,                 1.1552,               0.002245,               0.002245,               0.002245
                     50,                0.91559,                0.69597,                  1.092,                0.80162,                0.70069,                0.78756,                0.55392,                 1.0117,                 1.3492,                 1.1597,                0.00208,                0.00208,                0.00208
                     51,                 0.9003,                0.68383,                 1.0845,                0.79596,                0.70373,                0.78423,                0.55535,                 1.0138,                 1.3553,                 1.1626,               0.001915,               0.001915,               0.001915
                     52,                0.88031,                0.66091,                 1.0772,                0.78621,                0.71265,                0.78687,                0.55589,                 1.0155,                 1.3622,                 1.1655,                0.00175,                0.00175,                0.00175
                     53,                0.78882,                0.47444,                  1.033,                0.78449,                 0.7097,                0.78728,                0.55645,                  1.018,                 1.3716,                 1.1674,               0.001585,               0.001585,               0.001585
                     54,                0.76445,                0.45427,                 1.0205,                 0.7856,                0.70145,                0.78393,                0.55744,                 1.0208,                 1.3797,                 1.1713,                0.00142,                0.00142,                0.00142
                     55,                0.74301,                0.43098,                 1.0089,                0.79719,                0.70674,                  0.788,                0.55732,                 1.0237,                 1.3912,                 1.1755,               0.001255,               0.001255,               0.001255
                     56,                0.71926,                 0.4204,                0.99533,                0.79805,                0.70218,                0.78818,                0.55825,                 1.0258,                 1.4051,                 1.1797,                0.00109,                0.00109,                0.00109
                     57,                0.69009,                  0.405,                0.98224,                0.80365,                0.69168,                0.78662,                 0.5587,                 1.0269,                 1.4234,                 1.1836,               0.000925,               0.000925,               0.000925
                     58,                0.67358,                0.39049,                0.97387,                0.78105,                0.69897,                0.78454,                0.55925,                 1.0283,                 1.4375,                 1.1884,                0.00076,                0.00076,                0.00076
                     59,                0.64958,                0.37264,                0.96167,                0.82342,                0.66971,                0.78349,                0.56095,                 1.0298,                 1.4598,                 1.1949,               0.000595,               0.000595,               0.000595
                     60,                0.62142,                 0.3648,                0.94664,                0.82462,                0.66907,                0.78142,                0.55846,                 1.0284,                 1.4685,                  1.198,                0.00043,                0.00043,                0.00043
