epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,21512.5,0.58178,0.70333,0.12327,0.83086,0.7836,0.81109,0.44025,0.5049,0.62337,0.16016,0.00307,0.00307,0.00307
44,22007.8,0.57825,0.73121,0.12468,0.84137,0.77814,0.80055,0.43678,0.50309,0.63024,0.16099,0.002905,0.002905,0.002905
45,22505.6,0.57028,0.70898,0.12181,0.86569,0.78189,0.81076,0.4303,0.50818,0.64461,0.15962,0.00274,0.00274,0.00274
46,23004,0.55359,0.66575,0.11538,0.86704,0.7784,0.81648,0.43136,0.508,0.65643,0.15565,0.002575,0.002575,0.002575
47,23499.9,0.55862,0.70937,0.11908,0.87178,0.76286,0.81587,0.43423,0.50983,0.6476,0.15716,0.00241,0.00241,0.00241
48,23994.9,0.54903,0.71237,0.11821,0.84909,0.75528,0.80126,0.43202,0.50878,0.654,0.16125,0.002245,0.002245,0.002245
49,24494.1,0.54718,0.714,0.11954,0.84742,0.74909,0.79375,0.42961,0.50653,0.68012,0.16127,0.00208,0.00208,0.00208
50,24994.6,0.52914,0.70867,0.11261,0.83122,0.74024,0.78716,0.42654,0.51082,0.69117,0.16275,0.001915,0.001915,0.001915
51,25495.2,0.51582,0.64979,0.11277,0.83911,0.74699,0.79638,0.4289,0.50806,0.6871,0.16163,0.00175,0.00175,0.00175
52,25994.2,0.4915,0.63002,0.10747,0.84109,0.74608,0.79739,0.43216,0.50713,0.67063,0.16152,0.001585,0.001585,0.001585
53,26534.8,0.45935,0.65668,0.10042,0.81601,0.76026,0.79429,0.42908,0.50829,0.6665,0.16305,0.00142,0.00142,0.00142
54,27039.3,0.43637,0.56574,0.09531,0.81652,0.75771,0.79166,0.42647,0.50939,0.66661,0.16278,0.001255,0.001255,0.001255
55,27544.7,0.4,0.51425,0.08842,0.82418,0.7501,0.79394,0.4302,0.50625,0.65721,0.16155,0.00109,0.00109,0.00109
56,28050.9,0.3926,0.47629,0.08806,0.82788,0.76369,0.8021,0.43615,0.49881,0.64659,0.15993,0.000925,0.000925,0.000925
57,28557.6,0.39533,0.47237,0.08713,0.83643,0.76914,0.80602,0.43834,0.50019,0.64043,0.16052,0.00076,0.00076,0.00076
58,29062.8,0.37591,0.68679,0.08356,0.83782,0.76396,0.80476,0.44031,0.49866,0.64359,0.16022,0.000595,0.000595,0.000595
59,29569.1,0.36801,0.66741,0.08255,0.83748,0.75524,0.80094,0.43807,0.4995,0.6478,0.16039,0.00043,0.00043,0.00043
60,30075.4,0.35627,0.62549,0.08005,0.8346,0.7482,0.79561,0.43764,0.49695,0.65136,0.1607,0.000265,0.000265,0.000265
