                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3607,                 1.4218,                 1.6753,                0.73885,                0.67823,                0.74942,                0.50917,                 1.2293,                 1.7233,                 1.6717,                0.00505,                0.00505,                0.00505
                     36,                 1.3495,                 1.3971,                 1.6666,                0.74654,                 0.6763,                0.75174,                 0.5108,                 1.2284,                 1.7092,                  1.668,                 0.0049,                 0.0049,                 0.0049
                     37,                  1.345,                 1.3682,                 1.6506,                0.74957,                0.68108,                0.75396,                0.51141,                 1.2257,                 1.6812,                 1.6638,                0.00475,                0.00475,                0.00475
                     38,                 1.3499,                 1.3701,                  1.655,                0.78088,                0.67131,                0.75818,                0.51612,                 1.2223,                 1.6579,                 1.6588,                 0.0046,                 0.0046,                 0.0046
                     39,                  1.334,                 1.3574,                 1.6395,                0.78012,                0.67251,                0.75985,                0.51863,                 1.2197,                 1.6308,                 1.6531,                0.00445,                0.00445,                0.00445
                     40,                 1.3274,                 1.3093,                 1.6373,                0.78511,                0.67183,                0.76203,                0.52068,                 1.2172,                 1.6063,                 1.6493,                 0.0043,                 0.0043,                 0.0043
                     41,                 1.3162,                 1.2987,                 1.6323,                0.76801,                 0.6818,                0.76378,                0.52394,                 1.2149,                 1.5878,                 1.6458,                0.00415,                0.00415,                0.00415
                     42,                 1.3086,                 1.2819,                  1.623,                0.74865,                0.68984,                0.75947,                0.52212,                 1.2145,                 1.5697,                 1.6436,                  0.004,                  0.004,                  0.004
                     43,                 1.2693,                 1.2001,                 1.6036,                 0.7473,                0.69826,                0.76133,                0.52462,                 1.2129,                 1.5739,                 1.6438,                0.00385,                0.00385,                0.00385
                     44,                   1.28,                 1.2389,                 1.6076,                0.75936,                0.69079,                0.76514,                0.52627,                  1.211,                 1.5769,                 1.6427,                 0.0037,                 0.0037,                 0.0037
                     45,                 1.2809,                  1.225,                 1.6051,                0.74065,                0.70554,                0.76494,                0.52571,                 1.2103,                 1.5757,                 1.6427,                0.00355,                0.00355,                0.00355
                     46,                 1.2716,                 1.2107,                 1.5974,                 0.7557,                0.69563,                0.76215,                 0.5279,                 1.2098,                 1.5706,                 1.6424,                 0.0034,                 0.0034,                 0.0034
                     47,                 1.2712,                 1.1977,                 1.5982,                0.74823,                0.69942,                0.76131,                0.52812,                 1.2117,                 1.5585,                 1.6438,                0.00325,                0.00325,                0.00325
                     48,                 1.2616,                 1.1885,                 1.5892,                 0.7777,                0.70375,                0.76923,                0.53209,                 1.2121,                  1.551,                 1.6444,                 0.0031,                 0.0031,                 0.0031
                     49,                 1.2556,                 1.1747,                 1.5768,                0.78105,                0.70195,                 0.7691,                0.53132,                 1.2126,                 1.5419,                 1.6452,                0.00295,                0.00295,                0.00295
                     50,                 1.2439,                 1.1527,                 1.5687,                0.78198,                0.70216,                 0.7695,                 0.5334,                 1.2128,                 1.5278,                 1.6455,                 0.0028,                 0.0028,                 0.0028
                     51,                 1.1635,                 1.0195,                 1.5145,                0.77705,                0.70338,                0.76992,                0.53576,                 1.2146,                  1.536,                 1.6485,                0.00265,                0.00265,                0.00265
                     52,                 1.1778,                 1.0603,                 1.5207,                0.77983,                 0.7051,                0.77242,                0.53195,                 1.2162,                 1.5441,                  1.651,                 0.0025,                 0.0025,                 0.0025
                     53,                 1.1852,                 1.0613,                 1.5287,                0.78082,                0.70136,                0.77305,                0.53351,                 1.2166,                 1.5482,                 1.6519,                0.00235,                0.00235,                0.00235
                     54,                 1.1798,                 1.0549,                 1.5216,                0.78826,                0.69689,                0.77221,                0.53397,                 1.2172,                 1.5454,                  1.654,                 0.0022,                 0.0022,                 0.0022
                     55,                 1.1821,                 1.0551,                 1.5268,                0.78862,                0.69985,                0.77041,                0.53394,                 1.2176,                 1.5408,                 1.6549,                0.00205,                0.00205,                0.00205
                     56,                 1.1873,                 1.0535,                 1.5223,                 0.7857,                0.70603,                0.77143,                0.53499,                 1.2172,                 1.5346,                 1.6544,                 0.0019,                 0.0019,                 0.0019
                     57,                 1.1271,                0.83455,                 1.5066,                0.77863,                0.71446,                0.77191,                0.53733,                 1.2166,                  1.521,                  1.654,                0.00175,                0.00175,                0.00175
                     58,                 1.1148,                0.80523,                 1.4935,                0.77607,                0.71435,                0.77138,                0.53795,                 1.2171,                 1.5121,                 1.6538,                 0.0016,                 0.0016,                 0.0016
                     59,                 1.0977,                0.77743,                 1.4808,                0.77607,                0.72513,                0.77371,                 0.5389,                 1.2165,                 1.5066,                 1.6519,                0.00145,                0.00145,                0.00145
                     60,                 1.0801,                0.76336,                 1.4657,                 0.7786,                0.72481,                0.77331,                0.53717,                 1.2173,                 1.5016,                 1.6537,                 0.0013,                 0.0013,                 0.0013
                     61,                 1.0587,                0.74794,                 1.4504,                0.77033,                0.73064,                0.77277,                0.53718,                 1.2182,                  1.492,                  1.656,                0.00115,                0.00115,                0.00115
                     62,                 1.0495,                0.72968,                 1.4354,                0.77177,                0.72574,                0.77161,                0.53762,                 1.2186,                 1.4875,                 1.6564,                  0.001,                  0.001,                  0.001
                     63,                 1.0344,                0.71361,                 1.4215,                0.77577,                0.72449,                0.77141,                0.53672,                   1.22,                 1.4846,                 1.6584,                0.00085,                0.00085,                0.00085
                     64,                 1.0133,                0.68682,                 1.4052,                0.78101,                0.72215,                0.77102,                 0.5367,                 1.2207,                 1.4857,                 1.6598,                 0.0007,                 0.0007,                 0.0007
                     65,                 1.0021,                0.67376,                 1.3958,                0.78263,                0.72105,                0.77132,                0.53789,                 1.2203,                 1.4916,                 1.6599,                0.00055,                0.00055,                0.00055
                     66,                0.98222,                0.64916,                  1.378,                0.78261,                0.71603,                0.77257,                0.53936,                 1.2229,                 1.4907,                 1.6632,                 0.0004,                 0.0004,                 0.0004
